Field_Pit_ID,Location,Latitude,Longitude,n_splits,SnO2,Nb2O5,Ta2O5,Sn_pct,x,y
AMP-002,Bishiwai village,10.470183,8.859466,1,3.969,2.014,0.225,3.126268927078495,431.479108190716,345.71385000016625
DBP-001,Bishiwai village,10.466498,8.858311,1,2.354,1.291,0.144,1.8541791520138013,305.04405014188274,-61.6260499999251
DBP-002,Bishiwai village,10.467174,8.857984,1,6.036,2.011,0.238,4.754386304823833,269.2481505903161,13.098990000112813
DBP-004,Bishiwai village,10.46333,8.859882,1,3.22,0.914,0.11,2.536302833255922,477.0176226050271,-411.8167699999808
DBP-005,Bishiwai village,10.472084,8.857877,2,1.2275,1.1325,0.1245,0.966866996217902,257.53511923861055,555.8503900001831
DBP-006,Bishiwai village,10.472672,8.857704,1,1.658,0.833,0.095,1.3059596576205956,238.59722742692722,620.8479100000395
DBP-007,Bishiwai village,10.471667,8.859167,2,0.5065,0.608,0.064,0.3989557096410324,398.7483009555271,509.7552100001217
DBP-008,Bishiwai village,10.47185,8.859751,1,3.116,0.875,0.102,2.4543849777718796,462.677369267716,529.984030000102
DBP-011,Bishiwai village,10.469654,8.858061,1,0.637,0.652,0.078,0.5017468648397585,277.6771544601605,287.2381900001415
DBP-012,Bishiwai village,10.471133,8.856905,1,0.654,0.704,0.074,0.5151372835246499,151.13262882848838,450.7268500001179
DBP-016,Bishiwai village,10.473621,8.85774,2,1.046,1.1025,0.11549999999999999,0.8239045849645014,242.53806040504386,725.7503700000739
DBP-018,Bishiwai village,10.472088,8.861085,1,0.387,0.355,0.044,0.3048289430031186,608.7071246246826,556.2925500000485
DBP-019,Bishiwai village,10.471,8.860217,1,4.28,0.958,0.113,3.371234821843275,513.6892628183326,436.0250300001247
DBP-021,Bishiwai village,10.462454,8.857339,1,5.576,4.335,0.47,4.392057328644416,198.64155973176057,-508.64980999996715
DBP-022,Bishiwai village,10.461779,8.856889,2,5.1465000000000005,2.0475000000000003,0.23399999999999999,4.053752338929069,149.38114750501057,-583.2643099998915
DBP-027,Bishiwai-Yadabongo village,10.47392,8.853517,1,0.15,0.268,0.027,0.11815075310198393,-219.7435414483614,758.8018300000792
DBP-028,Bishiwai-Yadabongo village,10.474872,8.853415,1,1.549,1.426,0.157,1.2201034436998208,-230.90923488645583,864.0359100000618
DBP-029,Bishiwai-Yadabongo village,10.474762,8.853975,2,1.2985,1.552,0.17250000000000001,1.0227916860195077,-169.6073885596781,851.8765100001294
DBP-031,Bishiwai-Yadabongo village,10.475567,8.854043,1,1.323,1.756,0.19,1.0420896423594983,-162.163592934217,940.8612100000987
DBP-032,Bishiwai-Yadabongo village,10.475893,8.854349,1,1.304,1.697,0.185,1.0271238802999136,-128.66651262012815,976.8972500000305
DBP-033,Bishiwai-Yadabongo village,10.476646,8.85469,2,4.9325,2.4195,0.2735,3.885190597836905,-91.3380669103726,1060.1338700001781
DBP-035,Bishiwai-Yadabongo village,10.478077,8.854512,1,0.611,0.797,0.081,0.48126740096874787,-110.82329663566703,1218.3166100001984
DKP-001,Kadade-Gyadobongo,10.447166,8.847129,1,1.406,1.404,0.154,1.1074663924092627,-919.0224599043221,-2198.5853299999635
DKP-008,Kadade-Gyadobongo,10.444614,8.845858,1,4.62,2.691,0.307,3.639043195541105,-1058.155757549633,-2480.683409999927
DKP-011,Kadade-Gyadobongo,10.441915,8.846577,1,0.392,1.008,0.104,0.30876730143985137,-979.448565569361,-2779.0308699999027
DKP-012,Kadade-Gyadobongo,10.442824,8.847191,1,0.908,1.1,0.121,0.7152058921106761,-912.235469775311,-2678.5500099998976
